B2;0603B;BLM18PG121S;27.9000;35.7000;0
BAT2;BATT3000TR;Battery_holder_3000;153.5250;62.6000;270
BR1;TP1;Layout_note;124.5000;15.7000;0
BR2;TP1;Layout_note;117.9100;168.0159;0
BR3;TP1;Layout_note;102.0068;6.6159;0
BR4;TP1;Layout_note;124.5228;17.2159;0
BR5;TP1;Layout_note;153.0000;27.0000;0
BR6;TP1;Layout_note;168.3000;28.4000;0
BR7;TP1;Layout_note;47.3000;65.3000;270
BR8;TP1;Layout_note;92.2000;14.8000;270
BR9;TP1;Layout_note;39.4656;73.9962;270
BRG1;BRG1206;Layout_note;49.7000;167.3000;0
BRG2;BRG1206;Layout_note;70.5500;149.5000;0
BRG3;BRG1206;Layout_note;49.7000;163.3000;0
BRG4;BRG1206;Layout_note;79.5000;162.4000;0
BRG5;BRG1206;Layout_note;32.1000;133.9000;0
BRG6;BRG1206;Layout_note;56.7000;116.6000;0
BRG7;BRG1206;Layout_note;29.7000;122.9000;0
BRG8;BRG1206;Layout_note;56.8000;123.2000;0
C7;TANTAL_B;10uF 10% 25V;115.0000;148.1000;0
C8;TANTAL_B;10uF 10% 25V;83.8000;149.7000;90
C12;TANTAL_B;10uF 10% 25V;101.6000;148.1000;0
C13;TANTAL_B;10uF 10% 25V;108.3000;148.1000;0
C17;1812C;2.2uF 10% X7R 100V;71.5000;163.8000;270
C18;1812C;2.2uF 10% X7R 100V;76.2000;163.8000;270
C19;1812C;2.2uF 10% X7R 100V;54.4000;163.8000;270
C20;0805C;220nF 10% X7R 100V;68.0000;163.6000;270
C21;0805C;220nF 10% X7R 100V;57.9000;163.7000;270
C22;1206C;10uF 10% X7R 16V;53.4000;156.1500;90
C23;1206C;10uF 10% X7R 16V;56.1000;156.1500;90
C24;1206C;10uF 10% X7R 16V;76.7000;155.0500;90
C25;1206C;10uF 10% X7R 16V;74.0000;155.0500;90
C26;1206C;10uF 10% X7R 16V;71.3000;155.0500;90
C31;1812C;2.2uF 10% X7R 100V;33.5000;128.4000;270
C32;1812C;2.2uF 10% X7R 100V;48.4000;126.6000;270
C33;1812C;2.2uF 10% X7R 100V;53.1000;126.6000;270
C34;0805C;220nF 10% X7R 100V;37.0000;128.1000;270
C35;0805C;220nF 10% X7R 100V;45.1000;127.9000;270
C36;1206C;10uF 10% X7R 16V;33.7000;119.5500;90
C37;1206C;10uF 10% X7R 16V;31.0000;119.5500;90
C38;1206C;10uF 10% X7R 16V;48.7000;118.2500;90
C39;1206C;10uF 10% X7R 16V;54.1000;118.2500;90
C40;1206C;10uF 10% X7R 16V;51.4000;118.2500;90
C46;0603C;100nF 10% X7R 25V;153.3000;167.8000;180
C47;0603C;100nF 10% X7R 25V;150.2000;167.8000;180
C65;0603C;100nF 10% X7R 25V;56.5000;128.4000;90
C66;0603C;2.2uF 10% X5R 16V;157.8000;74.1000;270
C67;0805C;22uF 10% X7R 16V;38.6000;59.2500;90
C70;0603C;180pF 5% COG 50V;34.0000;63.8000;180
C71;0603C;180pF 5% COG 50V;30.8000;60.1000;180
C84;0603C;100nF 10% X7R 25V;28.7000;39.5000;0
C85;0805C;22uF 10% X7R 16V;28.5000;37.6000;180
C96;0603C;100nF 10% X7R 25V;28.7000;93.2000;90
C97;0603C;100nF 10% X7R 25V;30.4000;93.2000;90
C98;0603C;100nF 10% X7R 25V;30.7000;97.2000;90
C99;0603C;100nF 10% X7R 25V;29.0000;97.2000;90
C100;0603C;100nF 10% X7R 25V;32.5000;93.2000;90
C101;0603C;100nF 10% X7R 25V;34.2000;93.2000;90
C102;0603C;100nF 10% X7R 25V;32.8000;97.2000;90
C103;0603C;100nF 10% X7R 25V;34.5000;97.2000;90
C113;0603C;100nF 10% X7R 25V;53.8000;100.6000;180
C114;0603C;100nF 10% X7R 25V;53.8000;102.3000;180
C115;0603C;100nF 10% X7R 25V;56.7000;104.2000;180
C116;0603C;100nF 10% X7R 25V;56.7000;102.5000;180
C117;0603C;100nF 10% X7R 25V;53.8000;104.4000;180
C118;0603C;100nF 10% X7R 25V;53.8000;106.1000;180
C119;0603C;100nF 10% X7R 25V;56.7000;106.3000;180
C120;0603C;100nF 10% X7R 25V;56.7000;108.0000;180
C123;0805C;22uF 10% X7R 16V;51.0000;131.7000;0
C127;0805C;22uF 10% X7R 16V;53.2000;145.8000;270
C130;1206C;100nF 10% X7R 250V;38.1500;158.3000;180
C177;1206C;10uF 10% X7R 16V;54.6500;83.5000;0
C178;1812C;2.2uF 10% X7R 100V;45.8000;165.1000;270
C179;1812C;2.2uF 10% X7R 100V;41.1000;165.1000;270
C180;1812C;2.2uF 10% X7R 100V;27.2000;128.6000;180
C181;1812C;2.2uF 10% X7R 100V;27.2000;133.3000;180
C235;0603C;22pF 10% X7R 25V;58.1000;47.8000;270
C236;0603C;22pF 10% X7R 25V;58.1000;44.9000;90
C258;0603C;100nF 10% X7R 25V;68.2000;35.8000;0
C259;0603C;100nF 10% X7R 25V;71.0000;32.9000;90
C262;0805C;22uF 10% X7R 16V;32.4000;31.7000;270
C263;0805C;22uF 10% X7R 16V;30.6000;25.7000;270
C264;0603C;180pF 5% COG 50V;35.1000;26.9000;180
C274;0805C;22uF 10% X7R 16V;71.9000;15.8000;90
C275;0603C;180pF 5% COG 50V;76.1000;20.5000;180
C276;0805C;22uF 10% X7R 16V;70.6000;20.1000;90
C277;0603C;1nF 10% X7R 16V;70.2000;24.8000;180
C278;0603C;180pF 5% COG 50V;70.2000;26.6000;0
C279;0603C;1nF 10% X7R 16V;70.2000;30.0000;180
C280;0805C;22uF 10% X7R 16V;73.6000;26.9000;90
C281;0603C;180pF 5% COG 50V;73.2000;23.9000;180
C284;0805C;22uF 10% X7R 16V;50.8000;19.0000;180
C285;0805C;22uF 10% X7R 16V;47.5000;17.0000;0
C286;0603C;180pF 5% COG 50V;53.5000;22.0000;270
C287;0805C;22uF 10% X7R 16V;52.9000;28.2000;0
C288;0603C;1nF 10% X7R 16V;54.7000;31.8000;0
C289;0603C;180pF 5% COG 50V;54.7000;33.5000;180
C290;0603C;1nF 10% X7R 16V;57.7000;33.5000;180
C291;0805C;22uF 10% X7R 16V;57.2000;29.9000;0
C292;0603C;180pF 5% COG 50V;56.6000;26.3000;180
C295;1206C;10uF 10% X7R 16V;38.1500;22.4000;180
C311;TANTAL_B;100uF 20% 10V;20.0735;115.3716;0
C312;0603C;100nF 10% X7R 25V;19.0000;112.3000;0
C318;TANTAL_B;100uF 20% 10V;151.5000;20.2000;90
C319;0603C;100nF 10% X7R 25V;151.9000;15.9000;0
C320;0805C;22uF 10% X7R 16V;159.5000;20.6000;180
C321;0603C;100nF 10% X7R 25V;160.8000;17.4000;90
C326;TANTAL_B;100uF 20% 10V;33.0000;84.8000;0
C328;0805C;4.7uF 10% X7R 16V;28.6000;85.0000;270
C329;0603C;100nF 10% X7R 25V;28.9000;89.3000;0
C332;TANTAL_B;100uF 20% 10V;24.4500;94.3500;0
C333;0603C;100nF 10% X7R 25V;22.6000;99.6000;90
C335;TANTAL_B;100uF 20% 10V;33.0000;80.5000;0
C336;0603C;100nF 10% X7R 25V;26.5000;83.4000;90
C337;0805C;4.7uF 10% X7R 16V;55.2000;74.9000;0
C338;0603C;100nF 10% X7R 25V;54.6000;72.8000;0
C348;0603C;100nF 10% X7R 25V;109.6000;154.7000;270
C349;0805C;4.7uF 10% X7R 16V;106.0000;155.1000;0
C350;0603C;100nF 10% X7R 25V;96.5000;155.3000;90
C353;0603C;100nF 10% X7R 25V;135.2000;63.3000;180
C358;0603C;22pF 10% X7R 25V;131.8000;52.2000;90
C359;0603C;22pF 10% X7R 25V;138.6000;52.2000;270
C369;0805C;22uF 10% X7R 16V;21.3000;74.6000;90
C370;TANTAL_B;22uF 10% 25V;31.2000;74.8000;0
C371;0805C;22uF 10% X7R 16V;35.7000;74.6000;90
C376;0603C;100nF 10% X7R 25V;39.4000;29.2000;270
C377;0603C;100nF 10% X7R 25V;35.6000;43.0000;180
C380;0603C;100nF 10% X7R 25V;28.9000;47.4000;0
C382;0603C;100nF 10% X7R 25V;35.6000;44.7000;180
C384;0805C;1nF 10% X7R 50V;26.4000;159.3000;0
C414;0603C;1uF 10% X5R 16V;98.5000;16.8000;180
C417;TANTAL_D;330uF 10% 10V;80.7500;12.6500;270
C418;0805C;22uF 10% X7R 16V;42.6000;75.6000;180
C419;0805C;22uF 10% X7R 16V;38.2000;72.0000;90
C421;TANTAL_D;330uF 10% 10V;86.1500;12.6500;270
C422;TANTAL_B;100uF 20% 10V;32.4000;17.1000;270
C643;0805C;22uF 10% X7R 16V;16.2000;6.6000;180
C644;0805C;22uF 10% X7R 16V;16.2000;8.6000;180
C645;0805C;22uF 10% X7R 16V;16.2000;10.6000;180
C646;0603C;2.2uF 10% X7R 10V;23.1000;6.0000;90
C647;0805C;22uF 10% X7R 16V;16.2000;12.6000;180
C648;0603C;2.2uF 10% X7R 10V;21.4000;6.0000;90
C653;0805C;22uF 10% X7R 16V;16.2000;14.6000;180
C654;0805C;22uF 10% X7R 16V;16.2000;16.6000;180
C655;0805C;22uF 10% X7R 16V;16.2000;18.6000;180
C656;0603C;2.2uF 10% X7R 10V;24.8000;20.5000;180
C657;0805C;22uF 10% X7R 16V;16.2000;20.6000;180
C658;0603C;2.2uF 10% X7R 10V;21.9000;20.5000;180
C663;0805C;22uF 10% X7R 16V;62.2000;17.2000;180
C664;0805C;22uF 10% X7R 16V;62.2000;15.2000;180
C665;0805C;22uF 10% X7R 16V;62.2000;13.2000;180
C667;0805C;22uF 10% X7R 16V;62.2000;11.2000;180
C673;0805C;22uF 10% X7R 16V;60.2000;25.2000;180
C674;0805C;22uF 10% X7R 16V;60.2000;23.2000;180
C675;0805C;22uF 10% X7R 16V;60.2000;21.2000;180
C677;0805C;22uF 10% X7R 16V;60.2000;19.2000;180
D1;SOT23N;BAT54C;160.8000;74.5000;0
D3;DO214AA;10MQ100N;46.3000;134.0000;270
D6;DO214AA;10MQ100N;55.5000;150.5000;180
D8;DO214AA;SMBJ70CA;37.7000;154.4000;0
